"","x1","x2"
"1",630959.010370944,4093385.65047891
"2",628380.44703623,4094434.25763122
"3",623561.886063907,4095441.25766877
"4",626568.364886621,4095752.54436499
"5",627543.333280984,4096088.61997022
"6",628407.428899215,4095635.27963584
"7",629862.702755089,4095932.32835175
"8",624896.864375408,4097500.59705
"9",626413.863412512,4096727.86960751
"10",626970.683813164,4096911.75916464
"11",623753.33609846,4098601.75000123
"12",624677.499969213,4098627.35269888
"13",625783.285523815,4098327.93159163
"14",625822.409834817,4099995.97629118
"15",617882.886514201,4102468.56984893
"16",629290.91127882,4101630.6555045
"17",625942.611985637,4104365.87137917
"18",627782.270612337,4104142.91527099
"19",623504.59954355,4105342.00978384
"20",626096.461599601,4106093.34997537
"21",617182.672585126,4107426.20391419
"22",622485.897126432,4106841.11492724
"23",620906.767475348,4108036.27331206
"24",616565.474942859,4109450.9571949
"25",619259.987157982,4109106.82537694
"26",620254.983673258,4110887.08164738
"27",620759.729746806,4111230.66285924
"28",622119.579580711,4110545.33156167
"29",624285.626968201,4110526.36982379
"30",618310.362440465,4112370.7678726
"31",619539.342269353,4112657.82701325
"32",625008.918352283,4112270.36919848
"33",625551.439608444,4111808.87208169
"34",590262.482880376,4113385.44782276
"35",591515.24005853,4112963.65106846
"36",615888.279431672,4112974.63199113
"37",617841.668599039,4113245.77889297
"38",621745.52237845,4112751.3537134
"39",623554.049463035,4113091.7847474
"40",610537.35304371,4115094.94312356
"41",603689.365203788,4117067.86062911
"42",605979.178715305,4117450.30551541
"43",614681.220807217,4117152.82341456
"44",592249.4650662,4118640.63517748
"45",599747.810077391,4118635.074617
"46",602476.614742558,4117819.25434027
"47",603736.476375792,4118005.78412388
"48",585565.296608247,4119763.01472057
"49",590760.798675657,4119106.65031688
"50",591164.148249147,4119157.89852077
"51",592489.111234832,4119619.30336051
"52",596147.140874123,4120064.5292529
"53",597514.795441437,4119259.35108298
"54",600175.972599985,4120070.73395469
"55",601429.814600291,4119531.16795673
"56",603113.095176896,4119614.15324671
"57",603369.822114218,4119931.98637162
"58",605825.495560366,4119018.19316533
"59",608604.966293847,4119946.79498323
"60",587785.70467612,4120633.90284508
"61",589082.528432313,4120891.70638304
"62",590551.912606027,4120301.00606463
"63",591475.831358218,4120923.71887569
"64",592387.955979812,4120651.75688675
"65",596700.141212532,4120595.15263776
"66",598116.118395387,4121028.06717242
"67",599036.600065813,4121116.78989211
"68",600167.228885731,4120956.31468809
"69",601470.90698956,4121125.68910068
"70",605033.967991506,4120915.29770355
"71",606272.281503347,4121146.05110788
"72",606915.256203949,4120787.35358629
"73",608960.743666835,4121292.02383822
"74",609538.410163809,4120880.23983698
"75",584904.212505642,4121876.33722273
"76",588087.473468402,4122547.10844012
"77",588732.165197502,4122254.57947485
"78",590212.962595716,4121840.95537163
"79",591602.182401459,4122344.8318391
"80",593055.493745205,4122461.52508847
"81",594329.162266414,4122171.62293457
"82",594702.557599383,4122080.01884011
"83",596584.610886025,4122223.6923989
"84",598151.916219572,4121916.35726003
"85",599064.937554423,4121913.67702375
"86",602552.193397695,4122349.31109021
"87",603240.335919936,4122534.35792747
"88",604689.406762599,4122346.84114762
"89",605823.257317207,4122526.00641599
"90",607428.119267762,4121434.6614727
"91",608497.046990878,4121388.34186624
"92",609898.391353704,4122376.46882309
"93",585222.978495354,4123128.07944294
"94",586450.047336544,4122881.59915284
"95",587209.776435153,4122953.87047284
"96",588555.162801249,4123795.41884759
"97",589626.63131869,4123379.06943885
"98",591927.580454861,4123329.05077875
"99",592920.095642779,4123752.34840488
"100",594049.360488584,4123480.61243434
"101",594575.326763569,4123350.47474441
"102",595803.187825869,4122763.32117737
"103",597994.965095836,4123433.86352289
"104",599097.950996532,4122971.73106616
"105",599674.367338916,4123717.02416201
"106",600745.961027834,4123642.17178854
"107",602939.482419083,4123662.73218528
"108",604193.542058216,4122972.46855986
"109",604859.939456383,4123041.67383382
"110",606716.756470809,4123363.89243739
"111",608091.852744278,4122774.46619591
"112",584430.819513624,4124771.27890759
"113",585661.631175758,4124025.98537325
"114",585994.817504555,4124977.70752728
"115",587774.436132654,4124426.34251666
"116",589204.361982399,4124750.36018601
"117",590563.879423689,4124957.96111179
"118",590837.813619801,4123926.77239643
"119",592848.4367996,4123938.03480283
"120",594156.054740012,4124382.44489467
"121",594873.298323905,4124727.39333948
"122",596583.276906816,4124481.00640809
"123",597281.839299138,4125066.63830075
"124",598949.908762002,4124078.76822209
"125",600145.885769733,4124314.32921955
"126",601322.602853694,4123989.31780854
"127",602190.972523874,4124190.40674785
"128",605473.953676259,4124638.1689691
"129",606817.932841053,4124647.8078229
"130",606972.961188957,4123856.04618484
"131",608657.626532154,4123949.80973107
"132",563742.212588389,4125875.12495771
"133",585626.495205605,4126110.13415252
"134",586340.099639873,4125413.75885004
"135",587161.237199694,4125555.25980972
"136",588482.043319472,4125942.46177155
